event_id,timestamp,source_ip,destination_ip,protocol,attack_type,attack_category,confidence,risk_level,status,priority_score
E-47191,2026-06-11 23:55:07,192.168.1.190,10.0.0.50,TCP,Injection,웹 공격,0.9998,High,확인 필요,100
E-48695,2026-06-11 23:55:06,192.168.1.194,10.0.0.54,TCP,XSS,웹 공격,0.9998,High,확인 필요,100
E-47398,2026-06-11 23:54:59,192.168.1.197,10.0.0.57,TCP,Injection,웹 공격,0.6433,High,확인 필요,85
E-48772,2026-06-11 23:54:41,192.168.1.171,10.0.0.31,TCP,Benign,정상 트래픽,0.9382,Low,정상,5
E-48774,2026-06-11 23:54:39,192.168.1.173,10.0.0.33,TCP,Password,인증 공격,0.9673,High,확인 필요,97
E-47923,2026-06-11 23:54:36,192.168.1.122,10.0.0.32,TCP,Reconnaissance,탐색형 공격,0.9544,Medium,관찰 필요,84
E-47901,2026-06-11 23:54:29,192.168.1.100,10.0.0.10,TCP,Reconnaissance,탐색형 공격,0.9298,Medium,관찰 필요,84
E-46494,2026-06-11 23:53:37,192.168.1.193,10.0.0.53,TCP,Injection,웹 공격,0.9998,High,확인 필요,100
E-49393,2026-06-11 23:53:29,192.168.1.192,10.0.0.52,TCP,Benign,정상 트래픽,0.9998,Low,정상,5
E-46573,2026-06-11 23:53:22,192.168.1.172,10.0.0.32,TCP,Injection,웹 공격,0.9991,High,확인 필요,100
E-46351,2026-06-11 23:51:54,192.168.1.150,10.0.0.10,TCP,XSS,웹 공격,0.9475,High,확인 필요,95
E-45587,2026-06-11 23:51:52,192.168.1.186,10.0.0.46,TCP,Reconnaissance,탐색형 공격,0.9979,Medium,관찰 필요,84
E-46435,2026-06-11 23:51:38,192.168.1.134,10.0.0.44,TCP,Scanning,탐색형 공격,0.9949,Medium,관찰 필요,84
E-45208,2026-06-11 23:51:36,192.168.1.107,10.0.0.17,TCP,Reconnaissance,탐색형 공격,0.7075,Medium,관찰 필요,71
E-49662,2026-06-11 23:51:28,192.168.1.161,10.0.0.21,TCP,XSS,웹 공격,0.847,High,확인 필요,85
E-47932,2026-06-11 23:51:28,192.168.1.131,10.0.0.41,TCP,XSS,웹 공격,0.9928,High,확인 필요,99
E-45890,2026-06-11 23:51:20,192.168.1.189,10.0.0.49,TCP,Scanning,탐색형 공격,0.9804,Medium,관찰 필요,84
E-49592,2026-06-11 23:51:15,192.168.1.191,10.0.0.51,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-49505,2026-06-11 23:50:29,192.168.1.104,10.0.0.14,TCP,XSS,웹 공격,0.6101,High,확인 필요,85
E-47392,2026-06-11 23:50:15,192.168.1.191,10.0.0.51,TCP,XSS,웹 공격,0.957,High,확인 필요,96
E-49449,2026-06-11 23:49:58,192.168.1.148,10.0.0.58,TCP,Reconnaissance,탐색형 공격,0.9847,Medium,관찰 필요,84
E-48770,2026-06-11 23:49:52,192.168.1.169,10.0.0.29,TCP,Reconnaissance,탐색형 공격,0.9257,Medium,관찰 필요,84
E-47979,2026-06-11 23:49:41,192.168.1.178,10.0.0.38,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-46115,2026-06-11 23:49:38,192.168.1.114,10.0.0.24,TCP,Injection,웹 공격,0.9923,High,확인 필요,99
E-49223,2026-06-11 23:48:20,192.168.1.122,10.0.0.32,TCP,Reconnaissance,탐색형 공격,0.657,Medium,관찰 필요,66
E-49481,2026-06-11 23:48:14,192.168.1.180,10.0.0.40,TCP,Scanning,탐색형 공격,0.7504,Medium,관찰 필요,75
E-48702,2026-06-11 23:48:04,192.168.1.101,10.0.0.11,TCP,Reconnaissance,탐색형 공격,0.9582,Medium,관찰 필요,84
E-46005,2026-06-11 23:47:56,192.168.1.104,10.0.0.14,TCP,Benign,정상 트래픽,0.9229,Low,정상,5
E-45634,2026-06-11 23:46:38,192.168.1.133,10.0.0.43,TCP,Benign,정상 트래픽,0.9491,Low,정상,5
E-49578,2026-06-11 23:46:01,192.168.1.177,10.0.0.37,TCP,Reconnaissance,탐색형 공격,0.9982,Medium,관찰 필요,84
E-45619,2026-06-11 23:45:40,192.168.1.118,10.0.0.28,TCP,XSS,웹 공격,0.9548,High,확인 필요,95
E-48064,2026-06-11 23:45:02,192.168.1.163,10.0.0.23,TCP,Injection,웹 공격,0.9922,High,확인 필요,99
E-45876,2026-06-11 23:44:40,192.168.1.175,10.0.0.35,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-47930,2026-06-11 23:44:27,192.168.1.129,10.0.0.39,TCP,Benign,정상 트래픽,0.8613,Low,정상,5
E-46600,2026-06-11 23:43:40,192.168.1.199,10.0.0.59,TCP,Injection,웹 공격,0.9998,High,확인 필요,100
E-47160,2026-06-11 23:43:19,192.168.1.159,10.0.0.19,TCP,Reconnaissance,탐색형 공격,0.9624,Medium,관찰 필요,84
E-45823,2026-06-11 23:43:15,192.168.1.122,10.0.0.32,TCP,Reconnaissance,탐색형 공격,0.9341,Medium,관찰 필요,84
E-47262,2026-06-11 23:42:32,192.168.1.161,10.0.0.21,TCP,Scanning,탐색형 공격,0.9219,Medium,관찰 필요,84
E-47222,2026-06-11 23:42:30,192.168.1.121,10.0.0.31,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-49170,2026-06-11 23:42:27,192.168.1.169,10.0.0.29,TCP,XSS,웹 공격,0.9473,High,확인 필요,95
E-48308,2026-06-11 23:42:14,192.168.1.107,10.0.0.17,TCP,Injection,웹 공격,0.9573,High,확인 필요,96
E-48025,2026-06-11 23:42:03,192.168.1.124,10.0.0.34,TCP,Reconnaissance,탐색형 공격,0.9939,Medium,관찰 필요,84
E-47334,2026-06-11 23:41:46,192.168.1.133,10.0.0.43,TCP,Injection,웹 공격,0.9968,High,확인 필요,100
E-49895,2026-06-11 23:41:42,192.168.1.194,10.0.0.54,TCP,Password,인증 공격,0.9829,High,확인 필요,98
E-46751,2026-06-11 23:41:38,192.168.1.150,10.0.0.10,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-45515,2026-06-11 23:41:32,192.168.1.114,10.0.0.24,TCP,Benign,정상 트래픽,0.819,Low,정상,5
E-45872,2026-06-11 23:41:32,192.168.1.171,10.0.0.31,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-47007,2026-06-11 23:40:47,192.168.1.106,10.0.0.16,TCP,Injection,웹 공격,0.9997,High,확인 필요,100
E-46322,2026-06-11 23:40:42,192.168.1.121,10.0.0.31,TCP,Scanning,탐색형 공격,0.9543,Medium,관찰 필요,84
E-45130,2026-06-11 23:40:42,192.168.1.129,10.0.0.39,TCP,XSS,웹 공격,0.9531,High,확인 필요,95
E-47573,2026-06-11 23:39:50,192.168.1.172,10.0.0.32,TCP,Reconnaissance,탐색형 공격,0.9851,Medium,관찰 필요,84
E-49135,2026-06-11 23:39:20,192.168.1.134,10.0.0.44,TCP,Reconnaissance,탐색형 공격,0.9954,Medium,관찰 필요,84
E-48112,2026-06-11 23:39:09,192.168.1.111,10.0.0.21,TCP,Injection,웹 공격,1.0,High,확인 필요,100
E-48257,2026-06-11 23:38:48,192.168.1.156,10.0.0.16,TCP,Reconnaissance,탐색형 공격,0.9566,Medium,관찰 필요,84
E-49365,2026-06-11 23:37:51,192.168.1.164,10.0.0.24,TCP,Reconnaissance,탐색형 공격,0.9665,Medium,관찰 필요,84
E-49952,2026-06-11 23:37:47,192.168.1.151,10.0.0.11,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-49832,2026-06-11 23:37:32,192.168.1.131,10.0.0.41,TCP,Scanning,탐색형 공격,0.9993,Medium,관찰 필요,84
E-49122,2026-06-11 23:37:18,192.168.1.121,10.0.0.31,TCP,Injection,웹 공격,0.9772,High,확인 필요,98
E-48716,2026-06-11 23:37:15,192.168.1.115,10.0.0.25,TCP,Reconnaissance,탐색형 공격,0.9899,Medium,관찰 필요,84
E-47252,2026-06-11 23:36:55,192.168.1.151,10.0.0.11,TCP,Benign,정상 트래픽,0.8965,Low,정상,5
E-46616,2026-06-11 23:36:50,192.168.1.115,10.0.0.25,TCP,Injection,웹 공격,0.9998,High,확인 필요,100
E-47484,2026-06-11 23:36:42,192.168.1.183,10.0.0.43,TCP,Password,인증 공격,0.9997,High,확인 필요,100
E-47013,2026-06-11 23:36:14,192.168.1.112,10.0.0.22,TCP,Reconnaissance,탐색형 공격,0.9951,Medium,관찰 필요,84
E-46151,2026-06-11 23:35:07,192.168.1.150,10.0.0.10,TCP,Injection,웹 공격,0.9999,High,확인 필요,100
E-48036,2026-06-11 23:35:05,192.168.1.135,10.0.0.45,TCP,Scanning,탐색형 공격,0.9578,Medium,관찰 필요,84
E-45219,2026-06-11 23:35:04,192.168.1.118,10.0.0.28,TCP,Reconnaissance,탐색형 공격,0.983,Medium,관찰 필요,84
E-47474,2026-06-11 23:35:02,192.168.1.173,10.0.0.33,TCP,XSS,웹 공격,0.9993,High,확인 필요,100
E-45476,2026-06-11 23:34:59,192.168.1.175,10.0.0.35,TCP,Scanning,탐색형 공격,0.9916,Medium,관찰 필요,84
E-49347,2026-06-11 23:34:29,192.168.1.146,10.0.0.56,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-47136,2026-06-11 23:34:12,192.168.1.135,10.0.0.45,TCP,Scanning,탐색형 공격,0.9972,Medium,관찰 필요,84
E-47691,2026-06-11 23:34:02,192.168.1.190,10.0.0.50,TCP,Injection,웹 공격,0.9998,High,확인 필요,100
E-49250,2026-06-11 23:33:55,192.168.1.149,10.0.0.59,TCP,Password,인증 공격,1.0,High,확인 필요,100
E-49457,2026-06-11 23:33:54,192.168.1.156,10.0.0.16,TCP,Benign,정상 트래픽,0.9784,Low,정상,5
E-46896,2026-06-11 23:33:12,192.168.1.195,10.0.0.55,TCP,Password,인증 공격,1.0,High,확인 필요,100
E-48799,2026-06-11 23:32:49,192.168.1.198,10.0.0.58,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-47855,2026-06-11 23:32:32,192.168.1.154,10.0.0.14,TCP,Scanning,탐색형 공격,0.9869,Medium,관찰 필요,84
E-46258,2026-06-11 23:31:48,192.168.1.157,10.0.0.17,TCP,Injection,웹 공격,0.987,High,확인 필요,99
E-48941,2026-06-11 23:31:44,192.168.1.140,10.0.0.50,TCP,Reconnaissance,탐색형 공격,0.936,Medium,관찰 필요,84
E-46976,2026-06-11 23:31:41,192.168.1.175,10.0.0.35,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-48825,2026-06-11 23:31:13,192.168.1.124,10.0.0.34,TCP,Injection,웹 공격,0.943,High,확인 필요,94
E-48964,2026-06-11 23:31:03,192.168.1.163,10.0.0.23,TCP,Reconnaissance,탐색형 공격,0.9942,Medium,관찰 필요,84
E-48280,2026-06-11 23:30:50,192.168.1.179,10.0.0.39,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-46828,2026-06-11 23:30:29,192.168.1.127,10.0.0.37,TCP,Reconnaissance,탐색형 공격,0.9507,Medium,관찰 필요,84
E-47005,2026-06-11 23:30:29,192.168.1.104,10.0.0.14,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-47667,2026-06-11 23:30:24,192.168.1.166,10.0.0.26,TCP,Reconnaissance,탐색형 공격,0.9998,Medium,관찰 필요,84
E-46477,2026-06-11 23:30:07,192.168.1.176,10.0.0.36,TCP,Injection,웹 공격,0.9998,High,확인 필요,100
E-45914,2026-06-11 23:30:00,192.168.1.113,10.0.0.23,TCP,Reconnaissance,탐색형 공격,0.9943,Medium,관찰 필요,84
E-49637,2026-06-11 23:29:29,192.168.1.136,10.0.0.46,TCP,Injection,웹 공격,0.9999,High,확인 필요,100
E-46837,2026-06-11 23:29:09,192.168.1.136,10.0.0.46,TCP,Reconnaissance,탐색형 공격,0.9514,Medium,관찰 필요,84
E-46035,2026-06-11 23:28:57,192.168.1.134,10.0.0.44,TCP,Reconnaissance,탐색형 공격,0.9469,Medium,관찰 필요,84
E-48071,2026-06-11 23:28:15,192.168.1.170,10.0.0.30,TCP,Scanning,탐색형 공격,0.9993,Medium,관찰 필요,84
E-46575,2026-06-11 23:27:40,192.168.1.174,10.0.0.34,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-45686,2026-06-11 23:27:34,192.168.1.185,10.0.0.45,TCP,Scanning,탐색형 공격,0.9896,Medium,관찰 필요,84
E-48087,2026-06-11 23:27:26,192.168.1.186,10.0.0.46,TCP,Injection,웹 공격,0.933,High,확인 필요,93
E-48288,2026-06-11 23:27:07,192.168.1.187,10.0.0.47,TCP,Injection,웹 공격,0.9999,High,확인 필요,100
E-49695,2026-06-11 23:27:01,192.168.1.194,10.0.0.54,TCP,Benign,정상 트래픽,0.9467,Low,정상,5
E-47728,2026-06-11 23:26:52,192.168.1.127,10.0.0.37,TCP,Reconnaissance,탐색형 공격,0.9473,Medium,관찰 필요,84
E-47242,2026-06-11 23:26:36,192.168.1.141,10.0.0.51,TCP,Reconnaissance,탐색형 공격,0.9913,Medium,관찰 필요,84
E-47497,2026-06-11 23:26:32,192.168.1.196,10.0.0.56,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-46004,2026-06-11 23:26:18,192.168.1.103,10.0.0.13,TCP,Injection,웹 공격,0.9465,High,확인 필요,95
E-49251,2026-06-11 23:25:53,192.168.1.150,10.0.0.10,TCP,Benign,정상 트래픽,0.8877,Low,정상,5
E-47707,2026-06-11 23:25:13,192.168.1.106,10.0.0.16,TCP,Password,인증 공격,1.0,High,확인 필요,100
E-47335,2026-06-11 23:25:12,192.168.1.134,10.0.0.44,TCP,Reconnaissance,탐색형 공격,0.9937,Medium,관찰 필요,84
E-45036,2026-06-11 23:25:09,192.168.1.135,10.0.0.45,TCP,Scanning,탐색형 공격,0.9732,Medium,관찰 필요,84
E-47351,2026-06-11 23:25:05,192.168.1.150,10.0.0.10,TCP,Benign,정상 트래픽,0.9996,Low,정상,5
E-48650,2026-06-11 23:24:12,192.168.1.149,10.0.0.59,TCP,Injection,웹 공격,0.9601,High,확인 필요,96
E-45650,2026-06-11 23:23:58,192.168.1.149,10.0.0.59,TCP,XSS,웹 공격,0.9999,High,확인 필요,100
E-48417,2026-06-11 23:23:56,192.168.1.116,10.0.0.26,TCP,Injection,웹 공격,0.9607,High,확인 필요,96
E-45411,2026-06-11 23:23:41,192.168.1.110,10.0.0.20,TCP,Benign,정상 트래픽,0.6081,Low,정상,5
E-45413,2026-06-11 23:23:34,192.168.1.112,10.0.0.22,TCP,Reconnaissance,탐색형 공격,0.9858,Medium,관찰 필요,84
E-45487,2026-06-11 23:23:21,192.168.1.186,10.0.0.46,TCP,Password,인증 공격,0.9407,High,확인 필요,94
E-45909,2026-06-11 23:23:01,192.168.1.108,10.0.0.18,TCP,Injection,웹 공격,0.9998,High,확인 필요,100
E-45098,2026-06-11 23:22:59,192.168.1.197,10.0.0.57,TCP,Injection,웹 공격,0.9996,High,확인 필요,100
E-47612,2026-06-11 23:22:59,192.168.1.111,10.0.0.21,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-49500,2026-06-11 23:22:55,192.168.1.199,10.0.0.59,TCP,XSS,웹 공격,0.9602,High,확인 필요,96
E-48866,2026-06-11 23:22:42,192.168.1.165,10.0.0.25,TCP,Scanning,탐색형 공격,0.9568,Medium,관찰 필요,84
E-49285,2026-06-11 23:22:40,192.168.1.184,10.0.0.44,TCP,XSS,웹 공격,0.9535,High,확인 필요,95
E-47525,2026-06-11 23:22:25,192.168.1.124,10.0.0.34,TCP,Reconnaissance,탐색형 공격,0.994,Medium,관찰 필요,84
E-45916,2026-06-11 23:21:43,192.168.1.115,10.0.0.25,TCP,Reconnaissance,탐색형 공격,0.9314,Medium,관찰 필요,84
E-45678,2026-06-11 23:21:16,192.168.1.177,10.0.0.37,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-45225,2026-06-11 23:20:10,192.168.1.124,10.0.0.34,TCP,XSS,웹 공격,0.9992,High,확인 필요,100
E-49171,2026-06-11 23:20:01,192.168.1.170,10.0.0.30,TCP,Reconnaissance,탐색형 공격,0.9999,Medium,관찰 필요,84
E-48465,2026-06-11 23:19:41,192.168.1.164,10.0.0.24,TCP,Injection,웹 공격,0.9996,High,확인 필요,100
E-46384,2026-06-11 23:19:34,192.168.1.183,10.0.0.43,TCP,Injection,웹 공격,0.9786,High,확인 필요,98
E-47167,2026-06-11 23:19:15,192.168.1.166,10.0.0.26,TCP,Benign,정상 트래픽,0.9997,Low,정상,5
E-47089,2026-06-11 23:18:47,192.168.1.188,10.0.0.48,TCP,Injection,웹 공격,0.9982,High,확인 필요,100
E-49239,2026-06-11 23:18:12,192.168.1.138,10.0.0.48,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-47731,2026-06-11 23:17:57,192.168.1.130,10.0.0.40,TCP,Password,인증 공격,0.9995,High,확인 필요,100
E-48658,2026-06-11 23:17:47,192.168.1.157,10.0.0.17,TCP,Injection,웹 공격,0.9375,High,확인 필요,94
E-48832,2026-06-11 23:17:27,192.168.1.131,10.0.0.41,TCP,XSS,웹 공격,0.9997,High,확인 필요,100
E-48322,2026-06-11 23:17:15,192.168.1.121,10.0.0.31,TCP,Scanning,탐색형 공격,0.9995,Medium,관찰 필요,84
E-48971,2026-06-11 23:16:23,192.168.1.170,10.0.0.30,TCP,XSS,웹 공격,0.9601,High,확인 필요,96
E-45385,2026-06-11 23:16:22,192.168.1.184,10.0.0.44,TCP,Password,인증 공격,0.9999,High,확인 필요,100
E-46253,2026-06-11 23:15:47,192.168.1.152,10.0.0.12,TCP,Injection,웹 공격,0.9999,High,확인 필요,100
E-45195,2026-06-11 23:15:16,192.168.1.194,10.0.0.54,TCP,Reconnaissance,탐색형 공격,0.9861,Medium,관찰 필요,84
E-45420,2026-06-11 23:14:55,192.168.1.119,10.0.0.29,TCP,Reconnaissance,탐색형 공격,0.9919,Medium,관찰 필요,84
E-49173,2026-06-11 23:14:50,192.168.1.172,10.0.0.32,TCP,Password,인증 공격,0.9994,High,확인 필요,100
E-46448,2026-06-11 23:14:38,192.168.1.147,10.0.0.57,TCP,Injection,웹 공격,0.9484,High,확인 필요,95
E-49190,2026-06-11 23:14:25,192.168.1.189,10.0.0.49,TCP,XSS,웹 공격,0.9973,High,확인 필요,100
E-47500,2026-06-11 23:13:44,192.168.1.199,10.0.0.59,TCP,Injection,웹 공격,0.9998,High,확인 필요,100
E-49195,2026-06-11 23:13:05,192.168.1.194,10.0.0.54,TCP,Scanning,탐색형 공격,0.9876,Medium,관찰 필요,84
E-46693,2026-06-11 23:12:53,192.168.1.192,10.0.0.52,TCP,Reconnaissance,탐색형 공격,0.9587,Medium,관찰 필요,84
E-49369,2026-06-11 23:12:36,192.168.1.168,10.0.0.28,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-49351,2026-06-11 23:11:41,192.168.1.150,10.0.0.10,TCP,XSS,웹 공격,0.9615,High,확인 필요,96
E-48862,2026-06-11 23:11:41,192.168.1.161,10.0.0.21,TCP,Injection,웹 공격,0.9535,High,확인 필요,95
E-45534,2026-06-11 23:11:40,192.168.1.133,10.0.0.43,TCP,Scanning,탐색형 공격,0.9736,Medium,관찰 필요,84
E-49085,2026-06-11 23:11:29,192.168.1.184,10.0.0.44,TCP,Injection,웹 공격,0.9349,High,확인 필요,93
E-48630,2026-06-11 23:10:53,192.168.1.129,10.0.0.39,TCP,Benign,정상 트래픽,0.9457,Low,정상,5
E-46857,2026-06-11 23:10:42,192.168.1.156,10.0.0.16,TCP,Reconnaissance,탐색형 공격,0.9335,Medium,관찰 필요,84
E-46444,2026-06-11 23:10:31,192.168.1.143,10.0.0.53,TCP,Benign,정상 트래픽,0.9183,Low,정상,5
E-49219,2026-06-11 23:10:28,192.168.1.118,10.0.0.28,TCP,Injection,웹 공격,0.9999,High,확인 필요,100
E-46031,2026-06-11 23:10:26,192.168.1.130,10.0.0.40,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-45739,2026-06-11 23:10:12,192.168.1.138,10.0.0.48,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-45913,2026-06-11 23:10:10,192.168.1.112,10.0.0.22,TCP,Reconnaissance,탐색형 공격,0.9427,Medium,관찰 필요,84
E-49288,2026-06-11 23:09:21,192.168.1.187,10.0.0.47,TCP,Injection,웹 공격,0.9998,High,확인 필요,100
E-47787,2026-06-11 23:09:20,192.168.1.186,10.0.0.46,TCP,XSS,웹 공격,0.9553,High,확인 필요,96
E-47038,2026-06-11 23:09:04,192.168.1.137,10.0.0.47,TCP,Injection,웹 공격,0.9999,High,확인 필요,100
E-46426,2026-06-11 23:08:56,192.168.1.125,10.0.0.35,TCP,Scanning,탐색형 공격,0.9578,Medium,관찰 필요,84
E-46054,2026-06-11 23:08:51,192.168.1.153,10.0.0.13,TCP,Reconnaissance,탐색형 공격,0.9884,Medium,관찰 필요,84
E-47692,2026-06-11 23:08:48,192.168.1.191,10.0.0.51,TCP,Reconnaissance,탐색형 공격,0.989,Medium,관찰 필요,84
E-49089,2026-06-11 23:08:48,192.168.1.188,10.0.0.48,TCP,Reconnaissance,탐색형 공격,0.7746,Medium,관찰 필요,77
E-47165,2026-06-11 23:08:33,192.168.1.164,10.0.0.24,TCP,Reconnaissance,탐색형 공격,0.9294,Medium,관찰 필요,84
E-47710,2026-06-11 23:08:17,192.168.1.109,10.0.0.19,TCP,Password,인증 공격,0.9972,High,확인 필요,100
E-49463,2026-06-11 23:08:10,192.168.1.162,10.0.0.22,TCP,Password,인증 공격,1.0,High,확인 필요,100
E-46449,2026-06-11 23:07:16,192.168.1.148,10.0.0.58,TCP,Reconnaissance,탐색형 공격,0.998,Medium,관찰 필요,84
E-48722,2026-06-11 23:07:11,192.168.1.121,10.0.0.31,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-47850,2026-06-11 23:06:58,192.168.1.149,10.0.0.59,TCP,Reconnaissance,탐색형 공격,0.8877,Medium,관찰 필요,84
E-46063,2026-06-11 23:06:51,192.168.1.162,10.0.0.22,TCP,Benign,정상 트래픽,0.933,Low,정상,5
E-48690,2026-06-11 23:06:45,192.168.1.189,10.0.0.49,TCP,Reconnaissance,탐색형 공격,0.8385,Medium,관찰 필요,84
E-46446,2026-06-11 23:05:46,192.168.1.145,10.0.0.55,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-46043,2026-06-11 23:05:10,192.168.1.142,10.0.0.52,TCP,Reconnaissance,탐색형 공격,0.9895,Medium,관찰 필요,84
E-49320,2026-06-11 23:04:36,192.168.1.119,10.0.0.29,TCP,Injection,웹 공격,0.9658,High,확인 필요,97
E-46376,2026-06-11 23:03:36,192.168.1.175,10.0.0.35,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-49067,2026-06-11 23:03:16,192.168.1.166,10.0.0.26,TCP,Injection,웹 공격,0.9998,High,확인 필요,100
E-47883,2026-06-11 23:02:53,192.168.1.182,10.0.0.42,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-45787,2026-06-11 23:02:04,192.168.1.186,10.0.0.46,TCP,Injection,웹 공격,0.9978,High,확인 필요,100
E-49780,2026-06-11 23:01:23,192.168.1.179,10.0.0.39,TCP,Injection,웹 공격,0.9997,High,확인 필요,100
E-49984,2026-06-11 23:01:15,192.168.1.183,10.0.0.43,TCP,Benign,정상 트래픽,0.8828,Low,정상,5
E-49531,2026-06-11 23:00:51,192.168.1.130,10.0.0.40,TCP,Injection,웹 공격,0.963,High,확인 필요,96
E-49006,2026-06-11 23:00:35,192.168.1.105,10.0.0.15,TCP,Benign,정상 트래픽,0.9592,Low,정상,5
E-49200,2026-06-11 23:00:09,192.168.1.199,10.0.0.59,TCP,Benign,정상 트래픽,0.9982,Low,정상,5
E-46402,2026-06-11 22:59:59,192.168.1.101,10.0.0.11,TCP,Reconnaissance,탐색형 공격,0.8616,Medium,관찰 필요,84
E-48410,2026-06-11 22:59:36,192.168.1.109,10.0.0.19,TCP,Reconnaissance,탐색형 공격,0.9996,Medium,관찰 필요,84
E-49761,2026-06-11 22:59:36,192.168.1.160,10.0.0.20,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-48512,2026-06-11 22:59:32,192.168.1.111,10.0.0.21,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-48933,2026-06-11 22:59:27,192.168.1.132,10.0.0.42,TCP,Reconnaissance,탐색형 공격,0.9818,Medium,관찰 필요,84
E-47970,2026-06-11 22:59:09,192.168.1.169,10.0.0.29,TCP,Injection,웹 공격,0.9998,High,확인 필요,100
E-46452,2026-06-11 22:58:59,192.168.1.151,10.0.0.11,TCP,Benign,정상 트래픽,1.0,Low,정상,5
E-45812,2026-06-11 22:58:48,192.168.1.111,10.0.0.21,TCP,Injection,웹 공격,0.9997,High,확인 필요,100
E-45576,2026-06-11 22:58:42,192.168.1.175,10.0.0.35,TCP,Injection,웹 공격,0.9696,High,확인 필요,97
E-47375,2026-06-11 22:57:15,192.168.1.174,10.0.0.34,TCP,Scanning,탐색형 공격,0.9977,Medium,관찰 필요,84
